posi_id,title,old_1_0_total,old_1_0_eligibility,new_lifecycle_stage,new_rating_status,new_1_1_total,delta,evidence_coverage,quartile_label,not_rateable_reason
POSI-J-000001,"Global Review of Humanities, Arts, and Society",83,early_stage,early_stage,official,80.87,-2.13,96.55,,""
POSI-J-000002,"AI & Future Society",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000003,"Journal of Law, Psychology, and Communication Studies",84,early_stage,early_stage,official,85.72,1.72,96.55,,""
POSI-J-000004,"Health Nexus: Interdisciplinary Medical Research Journal",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000005,"PoliEcoM Administration Review",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000006,"Journal of Engineering Systems and Applications",,not_yet_rateable,early_stage,not_rateable,,,93.1,,"mandatory evidence not resolved: article sample of 4 is below the AJR-E-1.1 minimum of 10 (AJR-E-1.1-SPEC.md § 7)"
POSI-J-000007,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000008,"Rural Governance and Green Development",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000009,"Resonance: Journal of Global Music Studies",87,early_stage,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000010,"Climate Sustainability & Global Systems",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000011,"Journal of Social Cognition and Communication",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000012,"Silence",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000013,"Journal of Modern Social Sciences",76,early_stage,early_stage,official,75.26,-0.74,93.1,,""
POSI-J-000014,"Journal of Current Social Issues Studies",44,early_stage,early_stage,official,64.92,20.92,93.1,,""
POSI-J-000015,"Journal of Contemporary Art Criticism",72,early_stage,early_stage,official,67.37,-4.63,93.1,,""
POSI-J-000016,"人文学刊",50,early_stage,early_stage,not_rateable,,,56.9,,"evidence coverage 56.9% is below the not-rateable threshold of 60%"
POSI-J-000017,"教育与教法",73,early_stage,early_stage,provisional,82.27,9.27,65.52,,""
POSI-J-000018,"Journal of Asia Social Science Practice",67,early_stage,early_stage,provisional,81.14,14.14,62.07,,""
POSI-J-000019,"中国文学学刊",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000020,"艺术与设计前沿",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000021,"人工智能",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000022,"医学与护理",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000023,"新闻与传播",,not_yet_rateable,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000024,"中国法学学刊",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000025,"Engineering Frontiers",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000026,"当代设计研究",56,early_stage,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000027,"Research on Architecture and Environment",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000028,"Journal of the European Academy Open University",,observation,observation,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'observation' as of 2026-08-14"
POSI-J-000029,"The Journal of Interactive Social Sciences",65,early_stage,early_stage,official,58.45,-6.55,93.1,,""
POSI-J-000030,"Digital Intelligence Frontiers",,unknown,unknown,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'unknown' as of 2026-08-14"
POSI-J-023332,"Contemporary Review of Political Thought",,unknown,unknown,not_applicable,,,,,"AJR-E applies only to the Early-Stage window (12-59 months, LIFECYCLE-1.1 exact-date boundary); this journal is currently 'unknown' as of 2026-08-14"
